id,project_slug,project_name,role,current_filename,current_url,recommended_filename,required_size,required_format,status,notes
DUAN-015,aeromint-cleanroom,Aeromint Cleanroom,Ảnh bìa dự án,giao-dien-Peace-Viet-Nam-case-study.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/04/giao-dien-Peace-Viet-Nam-case-study.jpg,public/images/projects/aeromint-cleanroom/01-anh-bia-du-an.webp,1920 × 1080 px (16:9),WebP chất lượng 82–88,DA_REBRAND_VA_TICH_HOP,"Giữ nội dung chính trong vùng an toàn trung tâm để còn cắt 4:3. Đã dựng lại giao diện Aeromint, che hoàn toàn nhận diện cũ và giữ nguyên kích thước ảnh gốc."
DUAN-016,aeromint-cleanroom,Aeromint Cleanroom,Màn hình website,giao-dien-thu-vien-anh-Peace-Vietnam-Case-Study.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/04/giao-dien-thu-vien-anh-Peace-Vietnam-Case-Study.jpg,public/images/projects/aeromint-cleanroom/02-man-hinh-website.webp,"Tối thiểu 1440 px chiều rộng, giữ chiều cao trang gốc",WebP chất lượng 82–88,DA_REBRAND_VA_TICH_HOP,"Đã dựng lại giao diện Aeromint, che hoàn toàn nhận diện cũ và giữ nguyên kích thước ảnh gốc."
DUAN-017,aeromint-cleanroom,Aeromint Cleanroom,Màn hình website,Giao-dien-tin-tuc-Peace-Case-Study.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/04/Giao-dien-tin-tuc-Peace-Case-Study.jpg,public/images/projects/aeromint-cleanroom/03-man-hinh-website.webp,"Tối thiểu 1440 px chiều rộng, giữ chiều cao trang gốc",WebP chất lượng 82–88,DA_REBRAND_VA_TICH_HOP,"Đã dựng lại giao diện Aeromint, che hoàn toàn nhận diện cũ và giữ nguyên kích thước ảnh gốc."
DUAN-018,aeromint-cleanroom,Aeromint Cleanroom,Màn hình website,Giao-dien-trang-chu-Peace-Case-Study.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/04/Giao-dien-trang-chu-Peace-Case-Study.jpg,public/images/projects/aeromint-cleanroom/04-man-hinh-website.webp,"Tối thiểu 1440 px chiều rộng, giữ chiều cao trang gốc",WebP chất lượng 82–88,DA_REBRAND_VA_TICH_HOP,"Đã dựng lại giao diện Aeromint, che hoàn toàn nhận diện cũ và giữ nguyên kích thước ảnh gốc."
DUAN-019,aeromint-cleanroom,Aeromint Cleanroom,Màn hình website,thiet-bi-phong-sach-Peace-Vietnam-Case-Study.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/04/thiet-bi-phong-sach-Peace-Vietnam-Case-Study.jpg,public/images/projects/aeromint-cleanroom/05-man-hinh-website.webp,"Tối thiểu 1440 px chiều rộng, giữ chiều cao trang gốc",WebP chất lượng 82–88,DA_REBRAND_VA_TICH_HOP,"Đã dựng lại giao diện Aeromint, che hoàn toàn nhận diện cũ và giữ nguyên kích thước ảnh gốc."
DUAN-020,aeromint-cleanroom,Aeromint Cleanroom,Màn hình website,giao-dien-lien-he-Peace-Case-Study.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/04/giao-dien-lien-he-Peace-Case-Study.jpg,public/images/projects/aeromint-cleanroom/06-man-hinh-website.webp,"Tối thiểu 1440 px chiều rộng, giữ chiều cao trang gốc",WebP chất lượng 82–88,DA_REBRAND_VA_TICH_HOP,"Đã dựng lại giao diện Aeromint, che hoàn toàn nhận diện cũ và giữ nguyên kích thước ảnh gốc."
DUAN-021,aeromint-cleanroom,Aeromint Cleanroom,Màn hình website,Giao-dien-san-pham-Peace-Case-Study.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/04/Giao-dien-san-pham-Peace-Case-Study.jpg,public/images/projects/aeromint-cleanroom/07-man-hinh-website.webp,"Tối thiểu 1440 px chiều rộng, giữ chiều cao trang gốc",WebP chất lượng 82–88,DA_REBRAND_VA_TICH_HOP,"Đã dựng lại giao diện Aeromint, che hoàn toàn nhận diện cũ và giữ nguyên kích thước ảnh gốc."
DUAN-022,app-nivora-connect,App Nivora Connect,Ảnh bìa dự án,Giao-dien-Vietplus-case-study.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/04/Giao-dien-Vietplus-case-study.jpg,public/images/projects/nivora-connect/01-cover.webp,1920 × 1080 px (16:9),WebP chất lượng 82–88,DA_TAO_VA_TICH_HOP,Đã tạo bộ giao diện Nivora Connect mới và tích hợp.
DUAN-023,app-nivora-connect,App Nivora Connect,Màn hình ứng dụng,Giao-dien-tin-nhan-cua-Vietplus-case-study.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/04/Giao-dien-tin-nhan-cua-Vietplus-case-study.jpg,public/images/projects/nivora-connect/02-messaging.webp,"Tối thiểu 1080 px chiều rộng, giữ tỷ lệ màn hình gốc",WebP chất lượng 82–88,DA_TAO_VA_TICH_HOP,Đã tạo bộ giao diện Nivora Connect mới và tích hợp.
DUAN-024,app-nivora-connect,App Nivora Connect,Màn hình ứng dụng,Giao-dien-Housing-cua-Vietplus-case-study.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/04/Giao-dien-Housing-cua-Vietplus-case-study.jpg,public/images/projects/nivora-connect/03-housing.webp,"Tối thiểu 1080 px chiều rộng, giữ tỷ lệ màn hình gốc",WebP chất lượng 82–88,DA_TAO_VA_TICH_HOP,Đã tạo bộ giao diện Nivora Connect mới và tích hợp.
DUAN-025,app-nivora-connect,App Nivora Connect,Màn hình ứng dụng,Giao-dien-dang-nhap-Vietplus-case-study.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/04/Giao-dien-dang-nhap-Vietplus-case-study.jpg,public/images/projects/nivora-connect/04-login.webp,"Tối thiểu 1080 px chiều rộng, giữ tỷ lệ màn hình gốc",WebP chất lượng 82–88,DA_TAO_VA_TICH_HOP,Đã tạo bộ giao diện Nivora Connect mới và tích hợp.
DUAN-026,app-nivora-connect,App Nivora Connect,Màn hình ứng dụng,Giao-dien-trang-chu-cua-Vietplus-case-study.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/04/Giao-dien-trang-chu-cua-Vietplus-case-study.jpg,public/images/projects/nivora-connect/05-home.webp,"Tối thiểu 1080 px chiều rộng, giữ tỷ lệ màn hình gốc",WebP chất lượng 82–88,DA_TAO_VA_TICH_HOP,Đã tạo bộ giao diện Nivora Connect mới và tích hợp.
DUAN-027,app-nivora-connect,App Nivora Connect,Màn hình ứng dụng,Giao-dien-cua-Vietplus-case-study.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/04/Giao-dien-cua-Vietplus-case-study.jpg,public/images/projects/nivora-connect/06-community.webp,"Tối thiểu 1080 px chiều rộng, giữ tỷ lệ màn hình gốc",WebP chất lượng 82–88,DA_TAO_VA_TICH_HOP,Đã tạo bộ giao diện Nivora Connect mới và tích hợp.
DUAN-028,app-grevia-lawn,App Grevia Lawn,Ảnh bìa dự án,giao-dien-lovers-lawn-case-study.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/04/giao-dien-lovers-lawn-case-study.jpg,public/images/projects/app-grevia-lawn/01-anh-bia-du-an.webp,1920 × 1080 px (16:9),WebP chất lượng 82–88,DA_REBRAND_VA_TICH_HOP,"Giữ nội dung chính trong vùng an toàn trung tâm để còn cắt 4:3. Đã dựng lại giao diện Grevia Lawn, che hoàn toàn nhận diện cũ và giữ nguyên kích thước ảnh gốc."
DUAN-029,app-grevia-lawn,App Grevia Lawn,Màn hình ứng dụng,Giao-dien-ho-so-cua-Lovers-Lawn-case-study.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/04/Giao-dien-ho-so-cua-Lovers-Lawn-case-study.jpg,public/images/projects/app-grevia-lawn/02-man-hinh-ung-dung.webp,"Tối thiểu 1080 px chiều rộng, giữ tỷ lệ màn hình gốc",WebP chất lượng 82–88,DA_REBRAND_VA_TICH_HOP,"Đã dựng lại giao diện Grevia Lawn, che hoàn toàn nhận diện cũ và giữ nguyên kích thước ảnh gốc."
DUAN-030,app-grevia-lawn,App Grevia Lawn,Màn hình ứng dụng,Giao-dien-dich-vu-cua-Lovers-Lawn-case-study.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/04/Giao-dien-dich-vu-cua-Lovers-Lawn-case-study.jpg,public/images/projects/app-grevia-lawn/03-man-hinh-ung-dung.webp,"Tối thiểu 1080 px chiều rộng, giữ tỷ lệ màn hình gốc",WebP chất lượng 82–88,DA_REBRAND_VA_TICH_HOP,"Đã dựng lại giao diện Grevia Lawn, che hoàn toàn nhận diện cũ và giữ nguyên kích thước ảnh gốc."
DUAN-031,app-grevia-lawn,App Grevia Lawn,Màn hình ứng dụng,Giao-dien-dat-lich-cua-Lovers-Lawn-case-study.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/04/Giao-dien-dat-lich-cua-Lovers-Lawn-case-study.jpg,public/images/projects/app-grevia-lawn/04-man-hinh-ung-dung.webp,"Tối thiểu 1080 px chiều rộng, giữ tỷ lệ màn hình gốc",WebP chất lượng 82–88,DA_REBRAND_VA_TICH_HOP,"Đã dựng lại giao diện Grevia Lawn, che hoàn toàn nhận diện cũ và giữ nguyên kích thước ảnh gốc."
DUAN-032,app-grevia-lawn,App Grevia Lawn,Màn hình ứng dụng,Giao-dien-trang-chu-cua-Lovers-Lawn-case-study.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/04/Giao-dien-trang-chu-cua-Lovers-Lawn-case-study.jpg,public/images/projects/app-grevia-lawn/05-man-hinh-ung-dung.webp,"Tối thiểu 1080 px chiều rộng, giữ tỷ lệ màn hình gốc",WebP chất lượng 82–88,DA_REBRAND_VA_TICH_HOP,"Đã dựng lại giao diện Grevia Lawn, che hoàn toàn nhận diện cũ và giữ nguyên kích thước ảnh gốc."
DUAN-033,app-grevia-lawn,App Grevia Lawn,Màn hình ứng dụng,Giao-dien-ho-tro-cua-Lovers-Lawn-case-study.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/04/Giao-dien-ho-tro-cua-Lovers-Lawn-case-study.jpg,public/images/projects/app-grevia-lawn/06-man-hinh-ung-dung.webp,"Tối thiểu 1080 px chiều rộng, giữ tỷ lệ màn hình gốc",WebP chất lượng 82–88,DA_REBRAND_VA_TICH_HOP,"Đã dựng lại giao diện Grevia Lawn, che hoàn toàn nhận diện cũ và giữ nguyên kích thước ảnh gốc."
DUAN-034,website-loomora-rugs,Website Loomora Rugs,Ảnh bìa dự án,Giao-dien-trang-chu-Hang-kenh-Case-study.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/04/Giao-dien-trang-chu-Hang-kenh-Case-study.jpg,public/images/projects/website-loomora-rugs/01-anh-bia-du-an.webp,1920 × 1080 px (16:9),WebP chất lượng 82–88,DA_REBRAND_VA_TICH_HOP,"Giữ nội dung chính trong vùng an toàn trung tâm để còn cắt 4:3. Đã dựng lại giao diện Loomora Rugs, che hoàn toàn nhận diện cũ và giữ nguyên kích thước ảnh gốc."
DUAN-035,website-loomora-rugs,Website Loomora Rugs,Màn hình website,Giao-dien-tham-Decor-Hang-Kenh-case-study.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/04/Giao-dien-tham-Decor-Hang-Kenh-case-study.jpg,public/images/projects/website-loomora-rugs/02-man-hinh-website.webp,"Tối thiểu 1440 px chiều rộng, giữ chiều cao trang gốc",WebP chất lượng 82–88,DA_REBRAND_VA_TICH_HOP,"Đã dựng lại giao diện Loomora Rugs, che hoàn toàn nhận diện cũ và giữ nguyên kích thước ảnh gốc."
DUAN-036,website-loomora-rugs,Website Loomora Rugs,Màn hình website,Giao-dien-tham-du-thuyen-Hang-Kenh-case-study.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/04/Giao-dien-tham-du-thuyen-Hang-Kenh-case-study.jpg,public/images/projects/website-loomora-rugs/03-man-hinh-website.webp,"Tối thiểu 1440 px chiều rộng, giữ chiều cao trang gốc",WebP chất lượng 82–88,DA_REBRAND_VA_TICH_HOP,"Đã dựng lại giao diện Loomora Rugs, che hoàn toàn nhận diện cũ và giữ nguyên kích thước ảnh gốc."
DUAN-037,website-loomora-rugs,Website Loomora Rugs,Màn hình website,Giao-dien-tham-khach-san-Hang-Kenh-case-study.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/04/Giao-dien-tham-khach-san-Hang-Kenh-case-study.jpg,public/images/projects/website-loomora-rugs/04-man-hinh-website.webp,"Tối thiểu 1440 px chiều rộng, giữ chiều cao trang gốc",WebP chất lượng 82–88,DA_REBRAND_VA_TICH_HOP,"Đã dựng lại giao diện Loomora Rugs, che hoàn toàn nhận diện cũ và giữ nguyên kích thước ảnh gốc."
DUAN-038,website-loomora-rugs,Website Loomora Rugs,Màn hình website,Trang-chu-Hang-Kenh-case-study.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/04/Trang-chu-Hang-Kenh-case-study.jpg,public/images/projects/website-loomora-rugs/05-man-hinh-website.webp,"Tối thiểu 1440 px chiều rộng, giữ chiều cao trang gốc",WebP chất lượng 82–88,DA_REBRAND_VA_TICH_HOP,"Đã dựng lại giao diện Loomora Rugs, che hoàn toàn nhận diện cũ và giữ nguyên kích thước ảnh gốc."
DUAN-039,website-loomora-rugs,Website Loomora Rugs,Màn hình website,Giao-dien-tham-tranh-Hang-Kenh-case-study.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/04/Giao-dien-tham-tranh-Hang-Kenh-case-study.jpg,public/images/projects/website-loomora-rugs/06-man-hinh-website.webp,"Tối thiểu 1440 px chiều rộng, giữ chiều cao trang gốc",WebP chất lượng 82–88,DA_REBRAND_VA_TICH_HOP,"Đã dựng lại giao diện Loomora Rugs, che hoàn toàn nhận diện cũ và giữ nguyên kích thước ảnh gốc."
DUAN-040,website-loomora-rugs,Website Loomora Rugs,Màn hình website,Tham-Decor-Hang-Kenh-case-study.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/04/Tham-Decor-Hang-Kenh-case-study.jpg,public/images/projects/website-loomora-rugs/07-man-hinh-website.webp,"Tối thiểu 1440 px chiều rộng, giữ chiều cao trang gốc",WebP chất lượng 82–88,DA_REBRAND_VA_TICH_HOP,"Đã dựng lại giao diện Loomora Rugs, che hoàn toàn nhận diện cũ và giữ nguyên kích thước ảnh gốc."
DUAN-041,website-chromiva-coatings,Website Chromiva Coatings,Ảnh bìa dự án,Giao-dien-trang-chu-Paint-and-More-Case-study.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/04/Giao-dien-trang-chu-Paint-and-More-Case-study.jpg,public/images/projects/website-chromiva-coatings/01-anh-bia-du-an.webp,1920 × 1080 px (16:9),WebP chất lượng 82–88,DA_REBRAND_VA_TICH_HOP,"Giữ nội dung chính trong vùng an toàn trung tâm để còn cắt 4:3. Đã dựng lại giao diện Chromiva Coatings, che hoàn toàn nhận diện cũ và giữ nguyên kích thước ảnh gốc."
DUAN-042,website-chromiva-coatings,Website Chromiva Coatings,Màn hình website,Giao-dien-bang-mau-Paint-and-More-case-study.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/04/Giao-dien-bang-mau-Paint-and-More-case-study.jpg,public/images/projects/website-chromiva-coatings/02-man-hinh-website.webp,"Tối thiểu 1440 px chiều rộng, giữ chiều cao trang gốc",WebP chất lượng 82–88,DA_REBRAND_VA_TICH_HOP,"Đã dựng lại giao diện Chromiva Coatings, che hoàn toàn nhận diện cũ và giữ nguyên kích thước ảnh gốc."
DUAN-043,website-chromiva-coatings,Website Chromiva Coatings,Màn hình website,giao-dien-son-Paint-and-More-case-study.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/04/giao-dien-son-Paint-and-More-case-study.jpg,public/images/projects/website-chromiva-coatings/03-man-hinh-website.webp,"Tối thiểu 1440 px chiều rộng, giữ chiều cao trang gốc",WebP chất lượng 82–88,DA_REBRAND_VA_TICH_HOP,"Đã dựng lại giao diện Chromiva Coatings, che hoàn toàn nhận diện cũ và giữ nguyên kích thước ảnh gốc."
DUAN-044,website-chromiva-coatings,Website Chromiva Coatings,Màn hình website,San-pham-cua-Paint-and-More-case-study.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/04/San-pham-cua-Paint-and-More-case-study.jpg,public/images/projects/website-chromiva-coatings/04-man-hinh-website.webp,"Tối thiểu 1440 px chiều rộng, giữ chiều cao trang gốc",WebP chất lượng 82–88,DA_REBRAND_VA_TICH_HOP,"Đã dựng lại giao diện Chromiva Coatings, che hoàn toàn nhận diện cũ và giữ nguyên kích thước ảnh gốc."
DUAN-045,website-chromiva-coatings,Website Chromiva Coatings,Màn hình website,Trang-chu-cua-Paint-and-More-case-study.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/04/Trang-chu-cua-Paint-and-More-case-study.jpg,public/images/projects/website-chromiva-coatings/05-man-hinh-website.webp,"Tối thiểu 1440 px chiều rộng, giữ chiều cao trang gốc",WebP chất lượng 82–88,DA_REBRAND_VA_TICH_HOP,"Đã dựng lại giao diện Chromiva Coatings, che hoàn toàn nhận diện cũ và giữ nguyên kích thước ảnh gốc."
DUAN-046,website-chromiva-coatings,Website Chromiva Coatings,Màn hình website,Giao-dien-du-an-Paint-and-More-case-study.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/04/Giao-dien-du-an-Paint-and-More-case-study.jpg,public/images/projects/website-chromiva-coatings/06-man-hinh-website.webp,"Tối thiểu 1440 px chiều rộng, giữ chiều cao trang gốc",WebP chất lượng 82–88,DA_REBRAND_VA_TICH_HOP,"Đã dựng lại giao diện Chromiva Coatings, che hoàn toàn nhận diện cũ và giữ nguyên kích thước ảnh gốc."
DUAN-047,website-chromiva-coatings,Website Chromiva Coatings,Màn hình website,Giao-dien-san-pham-Paint-and-More-case-study.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/04/Giao-dien-san-pham-Paint-and-More-case-study.jpg,public/images/projects/website-chromiva-coatings/07-man-hinh-website.webp,"Tối thiểu 1440 px chiều rộng, giữ chiều cao trang gốc",WebP chất lượng 82–88,DA_REBRAND_VA_TICH_HOP,"Đã dựng lại giao diện Chromiva Coatings, che hoàn toàn nhận diện cũ và giữ nguyên kích thước ảnh gốc."
DUAN-048,website-verdora-property,Website Verdora Property,Ảnh bìa dự án,Giao-dien-Kim-Cuong-Xanh-case-study.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/04/Giao-dien-Kim-Cuong-Xanh-case-study.jpg,public/images/projects/website-verdora-property/01-anh-bia-du-an.webp,1920 × 1080 px (16:9),WebP chất lượng 82–88,DA_REBRAND_VA_TICH_HOP,"Giữ nội dung chính trong vùng an toàn trung tâm để còn cắt 4:3. Đã dựng lại giao diện Verdora Property, che hoàn toàn nhận diện cũ và giữ nguyên kích thước ảnh gốc."
DUAN-049,website-verdora-property,Website Verdora Property,Màn hình website,Trang-chu-Kim-cuong-Xanh-case-study.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/04/Trang-chu-Kim-cuong-Xanh-case-study.jpg,public/images/projects/website-verdora-property/02-man-hinh-website.webp,"Tối thiểu 1440 px chiều rộng, giữ chiều cao trang gốc",WebP chất lượng 82–88,DA_REBRAND_VA_TICH_HOP,"Đã dựng lại giao diện Verdora Property, che hoàn toàn nhận diện cũ và giữ nguyên kích thước ảnh gốc."
DUAN-050,website-verdora-property,Website Verdora Property,Màn hình website,Giao-dien-du-an-Kim-cuong-Xanh-case-study.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/04/Giao-dien-du-an-Kim-cuong-Xanh-case-study.jpg,public/images/projects/website-verdora-property/03-man-hinh-website.webp,"Tối thiểu 1440 px chiều rộng, giữ chiều cao trang gốc",WebP chất lượng 82–88,DA_REBRAND_VA_TICH_HOP,"Đã dựng lại giao diện Verdora Property, che hoàn toàn nhận diện cũ và giữ nguyên kích thước ảnh gốc."
